ticker,last_pitrading_date,first_iex_date,last_pitrading_close,first_iex_close,seam_ratio,nearest_canonical_factor,off_from_canonical_pct,direction,confidence
AMC,2022-03-04,2022-03-07,16.58,59.2039,3.570803,4.0,10.73,reverse_split,stacked_or_unclear
SKF,2022-03-04,2022-03-07,18.52,65.5613,3.540028,4.0,11.5,reverse_split,stacked_or_unclear
SRS,2022-03-04,2022-03-07,14.32,50.6805,3.53914,4.0,11.52,reverse_split,stacked_or_unclear
SH,2022-03-04,2022-03-07,14.83,52.1573,3.517012,4.0,12.07,reverse_split,stacked_or_unclear
IYK,2022-03-04,2022-03-07,201.95,59.3523,0.293896,0.333333,11.83,forward_split,stacked_or_unclear
DUG,2022-03-04,2022-03-07,24.51,82.9822,3.385647,3.0,12.85,reverse_split,stacked_or_unclear
IYG,2022-03-04,2022-03-07,176.7,52.3793,0.296431,0.333333,11.07,forward_split,stacked_or_unclear
SOXX,2022-03-04,2022-03-07,450.17,137.435,0.305296,0.333333,8.41,forward_split,stacked_or_unclear
NDAQ,2022-03-04,2022-03-07,171.53,52.9287,0.308568,0.333333,7.43,forward_split,clean
PTH,2022-03-04,2022-03-08,130.32,40.5373,0.31106,0.333333,6.68,forward_split,clean
WMT,2022-03-04,2022-03-07,142.8,44.7458,0.313346,0.333333,6.0,forward_split,clean
PSI,2022-03-04,2022-03-07,122.11,38.3409,0.313987,0.333333,5.8,forward_split,clean
PTF,2022-03-04,2022-03-07,129.29,41.1312,0.318131,0.333333,4.56,forward_split,clean
RZG,2022-03-04,2022-03-09,139.33,44.5462,0.319717,0.333333,4.08,forward_split,clean
TSLA,2022-03-04,2022-03-07,838.83,268.345,0.319904,0.333333,4.03,forward_split,clean
PWC,2022-03-04,2022-03-10,110.43,35.6974,0.323258,0.333333,3.02,forward_split,clean
IHE,2022-03-04,2022-03-18,186.68,60.6924,0.325114,0.333333,2.47,forward_split,clean
PSJ,2022-03-04,2022-03-07,105.54,34.48,0.326701,0.333333,1.99,forward_split,clean
PBR,2022-03-04,2022-03-07,14.52,5.0429,0.347309,0.333333,4.19,forward_split,clean
DD,2022-03-04,2022-03-07,74.38,26.6827,0.358736,0.333333,7.62,forward_split,clean
USLV,2020-07-02,2026-05-28,66.59,23.97,0.359964,0.333333,7.99,forward_split,clean
WRB,2022-03-04,2022-03-07,90.06,35.9945,0.399672,0.333333,19.9,forward_split,stacked_or_unclear
ETR,2022-03-04,2022-03-07,112.2,48.4443,0.431768,0.5,13.65,forward_split,stacked_or_unclear
XLE,2022-03-04,2022-03-07,75.23,32.9115,0.437478,0.5,12.5,forward_split,stacked_or_unclear
SRE,2022-03-04,2022-03-07,151.86,66.9388,0.440793,0.5,11.84,forward_split,stacked_or_unclear
XLB,2022-03-04,2022-03-07,83.05,36.8163,0.443303,0.5,11.34,forward_split,stacked_or_unclear
XLU,2022-03-04,2022-03-07,70.89,31.5958,0.445702,0.5,10.86,forward_split,stacked_or_unclear
FAST,2022-03-04,2022-03-07,53.97,24.5138,0.454212,0.5,9.16,forward_split,stacked_or_unclear
RXL,2022-03-04,2022-03-10,94.92,43.52,0.458491,0.5,8.3,forward_split,stacked_or_unclear
XLY,2022-03-04,2022-03-07,171.58,78.6928,0.458636,0.5,8.27,forward_split,stacked_or_unclear
SSO,2022-03-04,2022-03-07,60.02,27.5503,0.459019,0.5,8.2,forward_split,stacked_or_unclear
APH,2022-03-04,2022-03-07,38.115,17.5036,0.459232,0.5,8.15,forward_split,stacked_or_unclear
DDM,2022-03-04,2022-03-07,68.36,31.4287,0.459753,0.5,8.05,forward_split,stacked_or_unclear
QLD,2022-03-04,2022-03-07,62.86,28.9067,0.459858,0.5,8.03,forward_split,stacked_or_unclear
MNST,2022-03-04,2022-03-07,81.3,37.5,0.461255,0.5,7.75,forward_split,clean
SMH,2022-03-04,2022-03-07,255.5,118.3637,0.463263,0.5,7.35,forward_split,clean
ODFL,2022-03-04,2022-03-07,318.08,147.8176,0.464718,0.5,7.06,forward_split,clean
XLK,2022-03-04,2022-03-07,149.75,69.8297,0.466309,0.5,6.74,forward_split,clean
STI,2019-12-06,2024-02-05,70.16,145.0,2.066705,2.0,3.34,reverse_split,clean
AIV,2022-03-04,2022-03-07,7.33,3.5772,0.488024,0.5,2.4,forward_split,clean
LBTYA,2022-03-04,2022-03-07,23.99,11.9661,0.498794,0.5,0.24,forward_split,clean
LBTYK,2022-03-04,2022-03-07,24.45,12.3834,0.506481,0.5,1.3,forward_split,clean
AZN,2022-03-04,2022-03-07,57.46,111.8321,1.94626,2.0,2.69,reverse_split,clean
FXP,2022-03-04,2022-03-07,47.47,88.8017,1.87069,2.0,6.47,reverse_split,clean
SMN,2022-03-04,2022-03-07,11.88,22.129,1.862707,2.0,6.86,reverse_split,clean
EEV,2022-03-04,2022-03-07,20.35,37.8502,1.859963,2.0,7.0,reverse_split,clean
PCAR,2022-03-04,2022-03-07,87.96,47.5928,0.541074,0.5,8.21,forward_split,stacked_or_unclear
EUM,2022-03-04,2022-03-07,13.8,25.0498,1.8152,2.0,9.24,reverse_split,stacked_or_unclear
EFU,2022-03-04,2022-03-07,12.68,23.0074,1.814466,2.0,9.28,reverse_split,stacked_or_unclear
SDP,2022-03-04,2022-03-07,12.52,22.4286,1.791425,2.0,10.43,reverse_split,stacked_or_unclear
SIJ,2022-03-04,2022-03-07,16.15,28.54,1.767183,2.0,11.64,reverse_split,stacked_or_unclear
GE,2022-03-04,2022-03-07,89.15,51.9386,0.582597,0.5,16.52,forward_split,stacked_or_unclear
T,2022-03-04,2022-03-07,23.86,14.3569,0.601712,0.5,20.34,forward_split,stacked_or_unclear
FTV,2022-03-04,2022-03-07,60.61,38.028,0.62742,0.5,25.48,forward_split,stacked_or_unclear
WDC,2022-03-04,2022-03-07,50.27,31.6419,0.629438,0.5,25.89,forward_split,stacked_or_unclear
KSS,2022-03-04,2022-03-07,58.78,38.1332,0.648744,0.5,29.75,forward_split,stacked_or_unclear
EWT,2022-03-04,2022-03-07,62.53,40.8956,0.654016,0.5,30.8,forward_split,investigate
REM,2022-03-04,2022-03-07,31.75,21.3217,0.671551,0.5,34.31,forward_split,investigate
ACI,2022-03-04,2022-03-07,36.17,24.3568,0.673399,0.5,34.68,forward_split,investigate
MOMO,2022-03-04,2022-03-07,7.74,5.2171,0.674041,0.5,34.81,forward_split,investigate
MMM,2022-03-04,2022-03-07,146.72,99.1083,0.675493,0.5,35.1,forward_split,investigate
WU,2022-03-04,2022-03-07,17.76,12.3894,0.697601,0.5,39.52,forward_split,investigate
RIO,2022-03-04,2022-03-07,81.88,57.7113,0.704828,0.5,40.97,forward_split,investigate
MO,2022-03-04,2022-03-07,53.49,37.76,0.705926,0.5,41.19,forward_split,investigate
EWZ,2022-03-04,2022-03-07,34.29,24.2231,0.70642,0.5,41.28,forward_split,investigate
