ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
SCZ,10,10,1.000152,0.888392,0.888257,1.0,0.0008,0.0018,0.860491,
SD,10,10,1.00036,0.715502,0.715245,1.0,0.0016,0.0034,0.712489,
SDC,10,10,,,,,,,,no_yahoo_history
SDD,10,10,1.0,0.889916,0.889916,1.0,0.0096,0.0209,0.911314,iex_side_unstable
SDIG,10,10,,,,,,,,no_yahoo_history
SDK,10,0,,,,,,,,no_seam_window
SDP,10,10,0.25,0.445989,1.783958,0.25,0.0001,0.0375,1.791425,iex_side_unstable
SDS,10,10,0.2,0.836314,4.181568,0.2,0.0007,0.0029,4.424702,
SDY,10,10,1.0,0.8947,0.8947,1.0,0.0008,0.0075,0.882231,
SE,10,10,0.999958,0.999545,0.999588,1.0,0.002,0.0014,0.924017,no_rebase_needed
SEDG,10,10,0.999921,0.999623,0.999702,1.0,0.0015,0.0017,1.015692,no_rebase_needed
SEE,10,10,,,,,,,,no_yahoo_history
SFK,10,0,,,,,,,,no_seam_window
SGEN,10,10,,,,,,,,no_yahoo_history
SGGFF,10,0,,,,,,,,no_seam_window
SH,10,10,0.25,0.853912,3.415649,0.25,0.0014,0.0014,3.517012,
SHAK,10,10,1.0,1.000087,1.000087,1.0,0.0002,0.0014,0.906309,no_rebase_needed
SHLDQ,10,0,,,,,,,,no_seam_window
SHM,10,10,0.999792,0.933451,0.933646,1.0,0.001,0.001,0.933583,
SHOP,10,10,9.99633,1.000129,0.10005,10.0,0.001,0.0132,0.093412,iex_side_unstable
SHV,10,10,1.0,0.853853,0.853853,1.0,0.0001,0.0002,0.853802,
SHW,10,10,0.999309,0.963989,0.964656,1.0,0.0028,0.0012,0.906098,
SHY,10,10,0.999882,0.882109,0.882213,1.0,0.0002,0.0003,0.881149,
SIJ,10,10,0.25,0.430767,1.723069,0.25,0.0136,0.029,1.767183,pit_side_unstable;iex_side_unstable
SIRI,10,10,0.1,0.882175,8.821746,0.1,0.0017,0.0033,9.114696,
SIVB,10,10,,,,,,,,no_yahoo_history
SJF,10,0,,,,,,,,no_seam_window
SJH,10,0,,,,,,,,no_seam_window
SJL,10,0,,,,,,,,no_seam_window
SJM,10,10,0.999963,0.870927,0.87096,1.0,0.0008,0.0007,0.884269,
SKF,10,10,0.25,0.855848,3.423393,0.25,0.0006,0.0298,3.540028,iex_side_unstable
SKK,10,10,,,,,,,,no_yahoo_history
SKLZ,10,10,,,,,,,,no_yahoo_history
SLB,10,10,1.0,0.911295,0.911295,1.0,0.0004,0.0005,0.983985,
SLG,10,10,0.999686,0.76559,0.765831,1.0,0.0044,0.0009,0.744692,
SLV,10,10,1.0,1.0,1.0,1.0,0.0009,0.0007,1.002538,no_rebase_needed
SLX,10,10,1.000546,0.879831,0.879351,1.0,0.0013,0.02,0.86554,iex_side_unstable
SLY,10,10,1.000027,0.977658,0.977633,1.0,0.0012,0.0049,0.958615,
SLYG,10,10,0.999939,0.953287,0.953345,1.0,0.0012,0.0097,0.932383,
SLYV,10,10,1.000308,0.915999,0.915716,1.0,0.0013,0.0077,0.9049,
SMH,10,10,1.999775,0.975499,0.487804,2.0,0.0013,0.001,0.463263,
SMMU,10,10,0.999407,0.901267,0.901802,1.0,0.0006,0.0009,0.900732,
SMN,10,10,0.25,0.433517,1.734067,0.25,0.0024,0.0214,1.862707,iex_side_unstable
SMOG,10,10,0.998906,0.942657,0.943689,1.0,0.0093,0.0142,0.949494,iex_side_unstable
SNA,10,10,0.999735,0.900935,0.901174,1.0,0.0016,0.0009,0.886606,
SNAP,10,10,1.0,1.0,1.0,1.0,0.0009,0.001,0.913267,no_rebase_needed
SNOW,10,10,1.000446,1.000114,0.999667,1.0,0.0023,0.0013,0.921505,no_rebase_needed
SNPS,10,10,1.000145,0.999751,0.999606,1.0,0.0005,0.001,0.955679,no_rebase_needed
SO,10,10,1.0,0.865343,0.865343,1.0,0.0,0.0005,0.886596,
SOFI,10,10,1.0,0.99974,0.99974,1.0,0.0022,0.0014,0.9615,no_rebase_needed
SOHU,10,10,1.0,1.0,1.0,1.0,0.0024,0.0021,0.929922,no_rebase_needed
SONO,10,10,1.0,1.0,1.0,1.0,0.0008,0.0015,0.927875,no_rebase_needed
SOXL,10,10,0.999295,0.970062,0.970747,1.0,0.0016,0.0041,0.824557,
SOXS,10,10,3e-06,0.005777,1731.460935,,0.0048,0.0079,1991.232235,P_not_canonical
SOXX,10,10,2.998806,0.965856,0.32208,3.0,0.0021,0.0026,0.305296,
SPAB,10,10,0.998944,0.869558,0.870477,1.0,0.0018,0.0009,0.865526,
SPCE,10,10,0.05,0.999444,19.988876,0.05,0.0015,0.0027,18.80102,
SPDW,10,10,1.0,0.88164,0.88164,1.0,0.0007,0.0019,0.855659,
SPEM,10,10,1.00012,0.888883,0.888776,1.0,0.0008,0.0007,0.855601,
SPEU,10,10,1.0,0.873957,0.873957,1.0,0.0003,0.0169,0.845333,iex_side_unstable
SPG,10,10,1.0,0.801173,0.801173,1.0,0.0008,0.0125,0.741686,iex_side_unstable
SPGI,10,10,1.057014,1.021445,0.966349,,0.001,0.0017,0.914868,P_not_canonical
SPGP,10,10,1.000057,0.947534,0.94748,1.0,0.0008,0.0115,0.918535,iex_side_unstable
SPHB,10,10,1.0,0.968688,0.968688,1.0,0.0007,0.0053,0.919334,
SPHQ,10,10,1.0,0.941131,0.941131,1.0,0.0004,0.0021,0.9047,
SPIB,10,10,0.999142,0.853849,0.854583,1.0,0.0014,0.0003,0.849046,
SPIP,10,10,0.998531,0.844077,0.84532,1.0,0.0021,0.0007,0.84975,
SPLB,10,10,0.99753,0.822498,0.824534,1.0,0.0033,0.0009,0.808628,
SPLG,10,10,,,,,,,,no_yahoo_history
SPLK,10,10,,,,,,,,no_yahoo_history
SPLV,10,10,1.0,0.91563,0.91563,1.0,0.0008,0.0009,0.907124,
SPMB,10,10,0.998366,0.869075,0.870497,1.0,0.0021,0.0007,0.866922,
SPMD,10,10,1.000216,0.937409,0.937206,1.0,0.0007,0.0019,0.902794,
SPOT,10,10,1.0,1.000114,1.000114,1.0,0.0009,0.0015,0.965007,no_rebase_needed
SPSB,10,10,0.999343,0.852741,0.853302,1.0,0.0016,0.0006,0.850476,
SPTI,10,10,0.999839,0.8829,0.883042,1.0,0.0007,0.0019,0.880673,
SPTL,10,10,0.999109,0.86977,0.870545,1.0,0.0018,0.0013,0.863357,
SPTM,10,10,0.999721,0.94045,0.940712,1.0,0.0008,0.0025,0.913206,
SPVM,10,10,1.0,0.909143,0.909143,1.0,0.0012,0.0086,0.897838,
SPXL,10,10,1.00042,0.964548,0.964143,1.0,0.0016,0.0072,0.881013,
SPXS,10,10,0.100023,0.872299,8.720956,0.1,0.0018,0.004,9.470494,
SPY,10,10,1.000059,0.943247,0.943191,1.0,0.0003,0.0005,0.915336,
SPYG,10,10,0.999921,0.964843,0.964919,1.0,0.0007,0.0029,0.931589,
SPYV,10,10,0.999878,0.916641,0.916753,1.0,0.0007,0.0018,0.896482,
SQ,10,10,,,,,,,,no_yahoo_history
SQSP,10,10,,,,,,,,no_yahoo_history
SRE,10,10,1.999509,0.875762,0.437989,2.0,0.0008,0.0009,0.440793,
SRS,10,10,0.25,0.869533,3.478133,0.25,0.0014,0.0275,3.53914,iex_side_unstable
SSG,10,10,0.01,0.858308,85.830849,0.01,0.0064,0.0636,86.784151,iex_side_unstable
SSO,10,10,2.0,0.974852,0.487426,2.0,0.0005,0.0038,0.459019,
STE,10,10,1.0,0.968992,0.968992,1.0,0.002,0.0009,0.942983,
STI,10,10,,,,,,,,no_yahoo_history
STNE,10,10,1.0,0.999783,0.999783,1.0,0.0019,0.0028,0.946557,no_rebase_needed
STT,10,10,1.0,0.874262,0.874262,1.0,0.0001,0.0005,0.848957,
STX,10,10,1.0,0.878987,0.878987,1.0,0.0005,0.001,0.852462,
STZ,10,10,0.999883,0.930633,0.930741,1.0,0.0005,0.0009,0.910421,
SU,10,10,0.989505,0.856766,0.865854,,0.011,0.0009,0.894593,P_not_canonical;pit_side_unstable
SUSA,10,10,1.000054,0.947741,0.94769,1.0,0.0014,0.0019,0.920506,
SWAV,10,10,,,,,,,,no_yahoo_history
SWBI,10,10,0.999444,0.84124,0.841708,1.0,0.0014,0.0062,0.840656,
SWCH,10,10,,,,,,,,no_yahoo_history
SWI,10,10,,,,,,,,no_yahoo_history
SWK,10,10,1.0,0.856404,0.856404,1.0,0.0004,0.0003,0.808795,
SWKS,10,10,1.0,0.883312,0.883312,1.0,0.0009,0.0007,0.83684,
SWN,10,10,,,,,,,,no_yahoo_history
SYF,10,10,1.0,0.911195,0.911195,1.0,0.0005,0.0004,0.849873,
SYK,10,10,1.0,0.959707,0.959707,1.0,0.0012,0.0008,0.910762,
SYY,10,10,1.0,0.898186,0.898186,1.0,0.0002,0.0006,0.82211,
SZK,10,10,0.498883,0.434601,0.871149,0.5,0.0355,0.0171,0.920783,pit_side_unstable;iex_side_unstable
T,10,10,1.324,0.806465,0.609113,1.3333333333333333,0.0005,0.0008,0.601712,
TAL,10,10,1.0,1.0,1.0,1.0,0.0087,0.0085,1.050847,no_rebase_needed
TAP,10,10,0.992838,0.88187,0.888231,1.0,0.0013,0.0007,0.893915,
TCOM,10,10,1.0,0.995812,0.995812,1.0,0.0013,0.001,0.883171,
TDC,10,10,1.0,0.99968,0.99968,1.0,0.0006,0.0014,0.971694,no_rebase_needed
TDG,10,10,1.00033,0.777791,0.777534,1.0,0.0012,0.0005,0.727791,
TDOC,10,10,0.999692,0.999823,1.000131,1.0,0.0022,0.0014,0.954035,no_rebase_needed
TDY,10,10,0.999943,0.99945,0.999507,1.0,0.0019,0.0013,0.964995,no_rebase_needed
TEAM,10,10,1.000206,0.999922,0.999716,1.0,0.0022,0.0015,0.911873,no_rebase_needed
TECH,10,10,4.001297,0.981992,0.245418,4.0,0.0011,0.0016,0.235901,
TECL,10,10,0.999727,0.92574,0.925993,1.0,0.0022,0.0163,0.836364,iex_side_unstable
TECS,10,10,0.009999,0.087604,8.761639,0.01,0.0027,0.0109,9.672933,iex_side_unstable
TEL,10,10,1.000072,0.940871,0.940804,1.0,0.0004,0.0005,0.900224,
TER,10,10,1.0,0.983108,0.983108,1.0,0.0007,0.0009,0.935614,
TEVA,10,10,1.000624,1.0,0.999376,1.0,0.0014,0.0021,0.981928,no_rebase_needed
TFC,10,10,1.0,0.813841,0.813841,1.0,0.0004,0.0006,0.776433,
TFI,10,10,0.999196,0.895849,0.89657,1.0,0.0016,0.0007,0.894689,
TFX,10,10,0.999033,0.970017,0.970955,1.0,0.0015,0.001,0.962941,
TGT,10,10,0.99998,0.876583,0.8766,1.0,0.001,0.0011,0.826513,
TIP,10,10,0.998395,0.865049,0.86644,1.0,0.0018,0.0004,0.869952,
TJX,10,10,0.999848,0.943309,0.943453,1.0,0.0003,0.0004,0.879954,
TLH,10,10,0.998585,0.859881,0.8611,1.0,0.0019,0.0033,0.851219,
TLRY,10,10,0.1,0.999528,9.995283,0.1,0.0017,0.0032,9.751908,
TLT,10,10,0.999128,0.864638,0.865392,1.0,0.0018,0.0008,0.858751,
TM,10,10,1.0,0.928315,0.928315,1.0,0.0006,0.0006,0.870384,
TME,10,10,1.0,0.979685,0.979685,1.0,0.0004,0.003,0.931413,
TMF,10,10,0.100066,0.872214,8.716383,0.1,0.0018,0.0059,8.550863,
TMO,10,10,0.999582,0.988075,0.988488,1.0,0.0005,0.0014,0.965727,
TMUS,10,10,1.000163,0.961749,0.961592,1.0,0.0007,0.0007,0.954682,
TMV,10,10,4.001794,0.888674,0.222069,4.0,0.0023,0.0084,0.226628,
TNA,10,10,0.99983,0.962556,0.962719,1.0,0.0009,0.008,0.896588,
TOK,10,10,,,,,,,,no_overlap_with_yahoo
TOL,10,10,1.0,0.957206,0.957206,1.0,0.0011,0.0007,0.883786,
TOST,10,10,1.0,1.0,1.0,1.0,0.0037,0.003,0.959844,no_rebase_needed
TOTS,10,0,,,,,,,,no_seam_window
TPR,10,10,0.994014,0.897495,0.9029,1.0,0.0064,0.0011,0.790139,
TPTX,10,10,,,,,,,,no_yahoo_history
TRIP,10,10,1.0,0.99958,0.99958,1.0,0.0016,0.0009,0.957368,no_rebase_needed
TRMB,10,10,1.000361,0.999774,0.999413,1.0,0.0007,0.0008,0.956057,no_rebase_needed
TROW,10,10,1.00007,0.826365,0.826307,1.0,0.0006,0.0095,0.797481,
TRU,10,10,1.0,0.977847,0.977847,1.0,0.0005,0.0015,0.938009,
TRUE,10,10,,,,,,,,no_yahoo_history
TRV,10,10,1.000029,0.926126,0.926099,1.0,0.0007,0.0052,0.90298,
TSCO,10,10,5.000365,0.93141,0.186268,5.0,0.0007,0.0008,0.190952,
TSLA,10,10,3.0,0.999976,0.333325,3.0,0.0011,0.0006,0.319904,
TSM,10,10,1.0,0.946191,0.946191,1.0,0.0006,0.0037,0.894226,
TSN,10,10,0.997562,0.877639,0.879784,1.0,0.0049,0.0004,0.868902,
TT,10,10,0.995686,0.958834,0.962988,1.0,0.0047,0.0011,0.916518,
TTD,10,10,1.000067,0.999917,0.99985,1.0,0.0015,0.0011,0.874471,no_rebase_needed
TTWO,10,10,1.000031,1.000034,1.000003,1.0,0.0003,0.0008,1.000222,no_rebase_needed
TVIX,10,0,,,,,,,,no_seam_window
TVIZ,10,0,,,,,,,,no_seam_window
TW,10,10,0.999216,0.982997,0.983768,1.0,0.0012,0.0018,0.955419,
TWLO,10,10,0.999971,1.000038,1.000067,1.0,0.001,0.0009,0.94143,no_rebase_needed
TWM,10,10,0.200126,0.863861,4.316585,0.2,0.0039,0.006,4.530545,
TWTR,10,10,,,,,,,,no_yahoo_history
TXN,10,10,1.000118,0.888389,0.888283,1.0,0.0005,0.0007,0.861935,
TXT,10,10,1.0,0.995715,0.995715,1.0,0.0007,0.0007,0.951129,
TYBS,10,0,,,,,,,,no_seam_window
TYD,10,10,1.000316,0.909498,0.909211,1.0,0.004,0.0027,0.900825,
TYL,10,10,1.0,0.999794,0.999794,1.0,0.001,0.001,0.98026,no_rebase_needed
TYNS,10,0,,,,,,,,no_seam_window
TYO,10,10,1.0,0.879333,0.879333,1.0,0.0035,0.0036,0.887577,
TZA,10,10,0.99958,0.885609,0.885981,1.0,0.0019,0.0051,0.9466,
U,10,10,0.999947,0.999949,1.000001,1.0,0.0009,0.0009,0.917574,no_rebase_needed
UA,10,10,1.0,1.0,1.0,1.0,0.0007,0.0016,0.90483,no_rebase_needed
UAA,10,10,1.0,1.0,1.0,1.0,0.0012,0.0007,0.905697,no_rebase_needed
UAL,10,10,1.0,1.0,1.0,1.0,0.0006,0.001,0.849591,no_rebase_needed
UBER,10,10,1.0,0.99976,0.99976,1.0,0.0004,0.0007,0.957593,no_rebase_needed
UCC,10,10,1.002298,0.985251,0.982993,1.0,0.0279,0.0152,0.916357,pit_side_unstable;iex_side_unstable
UCD,10,0,,,,,,,,no_seam_window
UCO,10,10,4.000159,0.999733,0.249923,4.0,0.0022,0.0038,0.263136,
UDMY,10,10,,,,,,,,no_yahoo_history
UDN,10,10,1.0,0.870771,0.870771,1.0,0.0001,0.0043,0.866698,
UDR,10,10,1.0,0.848339,0.848339,1.0,0.0004,0.0007,0.842187,
UGA,10,10,1.0,1.000361,1.000361,1.0,0.0004,0.0134,1.010005,iex_side_unstable;no_rebase_needed
UGAZ,10,0,,,,,,,,no_seam_window
UGE,10,10,,,,,,,,no_overlap_with_yahoo
UGL,10,10,4.0,1.000366,0.250091,4.0,0.0013,0.0021,0.257497,
UGLD,10,10,,,,,,,,no_yahoo_history
UHN,10,0,,,,,,,,no_seam_window
UHS,10,10,0.998895,0.979793,0.980877,1.0,0.0026,0.0008,0.986476,
UKF,10,0,,,,,,,,no_seam_window
UKK,10,0,,,,,,,,no_seam_window
UKW,10,0,,,,,,,,no_seam_window
ULTA,10,10,1.0,0.999987,0.999987,1.0,0.0017,0.0008,0.955837,no_rebase_needed
UNG,10,10,0.25,0.999848,3.999393,0.25,0.0007,0.0024,3.895101,
UNH,10,10,0.999828,0.929815,0.929975,1.0,0.0011,0.0037,0.9062,
UNL,10,10,1.0,0.996159,0.996159,1.0,0.0008,0.0186,0.98481,iex_side_unstable
UNM,10,10,1.0,0.890428,0.890428,1.0,0.0007,0.0008,0.852885,
UNP,10,10,0.999647,0.912002,0.912324,1.0,0.0048,0.0009,0.900696,
UOIL,10,0,,,,,,,,no_seam_window
UPS,10,10,0.999976,0.826261,0.826281,1.0,0.0009,0.0016,0.790698,
UPW,10,10,4.000965,0.926907,0.231671,4.0,0.0125,0.0232,0.235699,pit_side_unstable;iex_side_unstable
UPWK,10,10,1.0,1.0,1.0,1.0,0.0013,0.002,0.874081,no_rebase_needed
URE,10,10,1.0,0.928594,0.928594,1.0,0.0062,0.0146,0.922663,iex_side_unstable
URI,10,10,0.999535,0.966159,0.966609,1.0,0.0008,0.001,0.910036,
USB,10,10,1.0,0.833304,0.833304,1.0,0.0002,0.0002,0.800908,
USCI,10,10,1.0,1.001494,1.001494,1.0,0.0006,0.0069,1.068405,no_rebase_needed
USD,10,10,4.0,0.988274,0.247068,4.0,0.0022,0.0221,0.221934,iex_side_unstable
USFD,10,10,0.999873,0.999927,1.000055,1.0,0.0008,0.0006,0.885808,no_rebase_needed
USL,10,10,1.0,1.000609,1.000609,1.0,0.0012,0.0122,1.051282,iex_side_unstable;no_rebase_needed
USLV,10,10,,,,,,,,no_yahoo_history
USO,10,10,1.0,0.999862,0.999862,1.0,0.0005,0.0012,1.036704,no_rebase_needed
USRT,10,10,0.999675,0.878007,0.878293,1.0,0.0011,0.0052,0.860813,
UUP,10,10,1.0,0.862167,0.862167,1.0,0.0009,0.0011,0.86793,
UUUU,10,10,0.998644,0.998969,1.000325,1.0,0.0042,0.0021,1.050796,no_rebase_needed
UVG,10,0,,,,,,,,no_seam_window
UVT,10,0,,,,,,,,no_seam_window
UVU,10,0,,,,,,,,no_seam_window
UWM,10,10,0.999787,0.967407,0.967613,1.0,0.0016,0.0082,0.920583,
UWT,10,0,,,,,,,,no_seam_window
UXI,10,10,1.001357,0.982622,0.981291,1.0,0.0069,0.0102,0.95052,iex_side_unstable
UYG,10,10,1.000165,0.87485,0.874706,1.0,0.0013,0.0353,0.81031,iex_side_unstable
UYM,10,10,,,,,,,,no_overlap_with_yahoo
V,10,10,1.0,0.969836,0.969836,1.0,0.0008,0.0009,0.924045,
VEEV,10,10,0.99977,0.999975,1.000205,1.0,0.0021,0.0016,0.968258,no_rebase_needed
VFC,10,10,1.0,0.87024,0.87024,1.0,0.0003,0.0094,0.812586,
VICI,10,10,1.000358,0.794423,0.794139,1.0,0.0007,0.0008,0.763336,
VIIX,10,0,,,,,,,,no_seam_window
VIIZ,10,0,,,,,,,,no_seam_window
VLO,10,10,1.000058,0.883484,0.883433,1.0,0.0002,0.0004,0.86314,
VMC,10,10,0.998722,0.968635,0.969874,1.0,0.0022,0.0009,0.930671,
VMW,10,10,,,,,,,,no_yahoo_history
VNM,10,10,1.000511,0.937459,0.936981,1.0,0.0036,0.0029,0.916704,
VNO,10,10,1.0,0.887342,0.887342,1.0,0.0003,0.0005,0.874094,
VNT,10,10,0.999587,0.987376,0.987784,1.0,0.0018,0.001,0.932457,
VRD,10,0,,,,,,,,no_seam_window
VRM,10,10,,,,,,,,no_yahoo_history
VRSK,10,10,0.999973,0.9728,0.972826,1.0,0.0013,0.002,0.970916,
VRSN,10,10,1.000023,0.987542,0.987518,1.0,0.0006,0.0006,0.974909,
VRTX,10,10,1.0,1.000224,1.000224,1.0,0.0003,0.0007,0.988384,no_rebase_needed
VTR,10,10,1.0,0.871321,0.871321,1.0,0.0002,0.0006,0.870407,
VTRS,10,10,1.0,0.836477,0.836477,1.0,0.0078,0.0021,0.8095,
VVV,10,10,0.999379,0.988266,0.98888,1.0,0.0043,0.0004,0.926463,
VXX,10,10,0.062482,1.001884,16.034821,,0.0014,0.0155,17.38068,P_not_canonical;iex_side_unstable
VXZ,10,10,,,,,,,,no_overlap_with_yahoo
VZ,10,10,0.999908,0.769962,0.770033,1.0,0.0006,0.0014,0.764232,
VZIO,10,10,,,,,,,,no_yahoo_history
W,10,10,1.000601,1.000115,0.999515,1.0,0.0025,0.002,1.008327,no_rebase_needed
WAB,10,10,0.999944,0.977703,0.977758,1.0,0.0016,0.0012,0.959655,
WAT,10,10,1.0,0.999952,0.999952,1.0,0.0004,0.001,0.975976,no_rebase_needed
WB,10,10,0.999829,0.776761,0.776894,1.0,0.001,0.0017,0.713893,
WBA,10,10,,,,,,,,no_yahoo_history
WDAY,10,10,1.0,1.000131,1.000131,1.0,0.0015,0.0015,0.934427,no_rebase_needed
WDC,10,10,1.323,0.897559,0.678427,1.3333333333333333,0.0006,0.0007,0.629438,
WE,10,10,,,,,,,,no_yahoo_history
WEC,10,10,1.0,0.871434,0.871434,1.0,0.0003,0.0007,0.879357,
WELL,10,10,0.996383,0.906682,0.909973,1.0,0.0077,0.0006,0.905129,
WFC,10,10,1.000093,0.902735,0.902651,1.0,0.0004,0.0007,0.847864,
WHR,10,10,0.999583,0.796754,0.797086,1.0,0.0092,0.0008,0.74162,
WIP,10,10,0.989622,0.767167,0.775212,,0.0139,0.0046,0.765404,P_not_canonical;pit_side_unstable
WM,10,10,1.0,0.935696,0.935696,1.0,0.0002,0.005,0.923791,
WMB,10,10,1.0,0.836337,0.836337,1.0,0.0006,0.0132,0.823898,iex_side_unstable
WMG,10,10,0.99986,0.913731,0.913859,1.0,0.0015,0.0014,0.83833,
WMT,10,10,3.000109,0.947292,0.315752,3.0,0.0001,0.0039,0.313346,
WOLF,10,10,,,,,,,,no_yahoo_history
WOOF,10,10,1.0,1.0,1.0,1.0,0.0012,0.0021,0.969315,no_rebase_needed
WPS,10,10,0.999761,0.928764,0.928987,1.0,0.0017,0.0102,0.907489,iex_side_unstable
WRB,10,10,2.249875,0.911995,0.405353,,0.0008,0.0018,0.399672,P_not_canonical
WRBY,10,10,0.999654,1.0,1.000346,1.0,0.0015,0.0019,0.907285,no_rebase_needed
WRK,10,10,,,,,,,,no_yahoo_history
WST,10,10,1.000274,0.989058,0.988787,1.0,0.0019,0.001,0.952213,
WTW,10,10,1.0,0.956767,0.956767,1.0,0.0009,0.0007,0.936616,
WU,10,10,1.0,0.70726,0.70726,1.0,0.0006,0.014,0.697601,iex_side_unstable
WY,10,10,0.995568,0.871577,0.875457,1.0,0.0047,0.0003,0.853178,
WYNN,10,10,0.999944,0.969628,0.969683,1.0,0.0004,0.0006,0.859634,
X,10,10,,,,,,,,no_yahoo_history
XBI,10,10,1.0,0.994768,0.994768,1.0,0.0009,0.0011,0.9924,
XEL,10,10,1.0,0.865526,0.865526,1.0,0.0003,0.0071,0.866201,
XES,10,10,1.000076,0.956859,0.956787,1.0,0.0019,0.0065,1.031949,
XHB,10,10,1.000285,0.964691,0.964416,1.0,0.0007,0.0009,0.91256,
XIV,10,0,,,,,,,,no_seam_window
XLB,10,10,2.00036,0.918322,0.459078,2.0,0.0004,0.0003,0.443303,
XLC,10,10,0.999927,0.955978,0.956048,1.0,0.0005,0.0006,0.924347,
XLE,10,10,1.999715,0.862118,0.43112,2.0,0.0008,0.0009,0.437478,
XLF,10,10,1.000128,0.929071,0.928952,1.0,0.0003,0.0006,0.894868,
XLG,10,10,10.004369,0.960116,0.09597,10.0,0.0014,0.0092,0.09369,
XLI,10,10,1.0,0.936321,0.936321,1.0,0.0002,0.0003,0.91124,
XLK,10,10,2.0,0.967904,0.483952,2.0,0.0004,0.0013,0.466309,
XLP,10,10,1.000066,0.894253,0.894194,1.0,0.0006,0.0005,0.878003,
XLU,10,10,2.0,0.879802,0.439901,2.0,0.0004,0.0004,0.445702,
XLV,10,10,1.000115,0.933266,0.933159,1.0,0.0005,0.0004,0.917317,
XLY,10,10,2.000002,0.964526,0.482263,2.0,0.0005,0.0006,0.458636,
XM,10,10,,,,,,,,no_yahoo_history
XME,10,10,1.0,0.960861,0.960861,1.0,0.0008,0.001,0.936895,
XMHQ,10,10,1.0,0.918714,0.918714,1.0,0.0,0.0122,0.887275,iex_side_unstable
XMMO,10,10,1.000174,0.962553,0.962386,1.0,0.002,0.0026,0.914234,
XMVM,10,10,1.0,0.928962,0.928962,1.0,0.0003,0.0082,0.887846,
XNTK,10,10,1.0,0.991516,0.991516,1.0,0.0006,0.0386,0.945456,iex_side_unstable
XOM,10,10,1.000062,0.871395,0.87134,1.0,0.0004,0.0009,0.902577,
XOP,10,10,1.000041,0.900385,0.900348,1.0,0.0017,0.0019,0.90441,
XPH,10,10,1.0,0.945305,0.945305,1.0,0.0006,0.0101,0.927628,iex_side_unstable
XRAY,10,10,1.000085,0.903205,0.903129,1.0,0.0004,0.0006,0.884814,
XRT,10,10,1.000134,0.938784,0.938658,1.0,0.0012,0.0007,0.897835,
XRX,10,10,1.000488,0.769429,0.769053,1.0,0.0006,0.0011,0.732469,
XSD,10,10,0.999749,0.986728,0.986976,1.0,0.0014,0.0115,0.953525,iex_side_unstable
XSMO,10,10,1.0,0.96168,0.96168,1.0,0.0017,0.0148,0.956761,iex_side_unstable
XSVM,10,10,0.999906,0.924035,0.924122,1.0,0.0012,0.0078,0.899786,
XYL,10,10,0.999889,0.952131,0.952236,1.0,0.0007,0.0008,0.931311,
YANG,10,10,0.049975,0.872805,17.464998,0.05,0.0024,0.0097,19.402278,
YELP,10,10,1.0,1.0,1.0,1.0,0.0006,0.001,0.943182,no_rebase_needed
YETI,10,10,1.000163,0.999958,0.999796,1.0,0.0006,0.0015,0.956724,no_rebase_needed
YINN,10,10,0.049997,0.926197,18.524902,0.05,0.0045,0.0048,16.422833,
YNDX,10,0,,,,,,,,no_seam_window
YRD,10,10,1.0,0.914221,0.914221,1.0,0.0133,0.0608,0.864988,pit_side_unstable;iex_side_unstable
YUM,10,10,1.0,0.926387,0.926387,1.0,0.0007,0.0007,0.88418,
YUMC,10,10,1.0,0.94178,0.94178,1.0,0.0004,0.0005,0.872828,
Z,10,10,1.0,0.99979,0.99979,1.0,0.0011,0.0015,0.957463,no_rebase_needed
ZBH,10,10,0.999878,0.966306,0.966424,1.0,0.0008,0.0007,0.936252,
ZBRA,10,10,1.000072,1.000026,0.999954,1.0,0.0009,0.001,0.968091,no_rebase_needed
ZEN,10,10,,,,,,,,no_yahoo_history
ZEUS,10,10,,,,,,,,no_yahoo_history
ZG,10,10,1.0,0.999796,0.999796,1.0,0.0019,0.0013,0.948627,no_rebase_needed
ZI,10,10,,,,,,,,no_yahoo_history
ZION,10,10,1.000071,0.864503,0.864442,1.0,0.0005,0.0003,0.822422,
ZIP,10,10,1.0,1.0,1.0,1.0,0.002,0.0006,0.949584,no_rebase_needed
ZIV,10,0,,,,,,,,no_seam_window
ZM,10,10,1.0,0.999868,0.999868,1.0,0.0009,0.001,0.990179,no_rebase_needed
ZNGA,10,10,,,,,,,,no_yahoo_history
ZS,10,10,1.00002,0.999803,0.999783,1.0,0.0011,0.0011,0.906599,no_rebase_needed
ZSL,10,10,0.025,1.000474,40.01894,0.025,0.0,0.0273,39.923846,iex_side_unstable
ZTS,10,10,0.999867,0.958482,0.958609,1.0,0.0006,0.0013,0.916058,
ZUO,10,10,,,,,,,,no_yahoo_history
