ticker,step
ARLO,0.9545032497678737
BB,0.9722222222222221
BDTX,0.9175257731958762
BOX,0.9674826452320058
CLF,1.0046260601387818
CLNE,1.0047297297297297
CPER,0.9662433155080213
DBX,0.9388914129940935
FSLY,0.9733593242365172
GDRX,0.9021943573667712
GPRO,0.9296116504854369
GRPN,0.9988249118683902
GT,0.8758339510748703
HCAT,0.983326716951171
HTZ,0.9504692387904067
JMIA,0.9710327455919395
LYV,0.8761247488424916
MAT,0.9431396786155748
PENN,0.882740021574973
PINS,0.9549214226633581
PLUG,1.0064991334488735
PTON,0.9570212765957447
QRVO,0.9535009253547193
RMBS,0.9679601281594874
SLV,1.0025380710659897
SNAP,0.9132668479903293
SOHU,0.9299221357063403
SONO,0.9278752436647174
TAL,1.0508474576271187
TOST,0.9598438371444507
U,0.9175743964065132
UA,0.9048295454545454
UAA,0.9056974459724951
UAL,0.8495912806539508
UPWK,0.8740808823529411
WOOF,0.9693150684931507
YELP,0.9431818181818181
ZIP,0.9495839451786587
